"coursera_id","zip_code","age_group","what_is_your_gender","what_is_your_ethnicity_and_or_race_please_select_all_that_apply","what_pronouns_do_you_use","employment_status","what_is_you_approximate_monthly_income","which_certificate_s_are_you_most_interested_in","after_completion_of_the_course_which_wrap_around_supports_will_you_need","are_you_able_to_commit_10_15_hours_per_week_for_this_training","your_google_scholarship_gives_you_6_months_to_complete_your_certification_s_are_you_willing_to_commit_to_the_successful_completion_of_your_certification_s_within_this_time_constraint","this_training_is_online_please_rate_your_personal_computer_skills","are_you_a_veteran_of_the_united_states_armed_forces"
"da5832ee401bf575b98f1cca16dee2e3","49684","25-34","""Female""","""White / Caucasian""","""She/her""","Full-time","5417","""Data Analytics, Project Management, UX (User Experience) Design""","""Referrals to job opportunities, Resume assistance""","Yes","Yes",NA,NA
"fa471edea7a7ff62611ac53336413a5b","49684","45-54","""Female""","""White / Caucasian""","""She/her""","Full-time","3500","""Data Analytics, Project Management, UX (User Experience) Design""","""Information about other training programs""","Yes","Yes",NA,NA
"07c8ef7399ff673720a7674f766297d3","49686","35-44","""Female""","""White / Caucasian""","""She/her""",NA,"1k","""Data Analytics""","""Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs""","Yes","Yes",NA,NA
"4772b52fb083e9e6e5972f21f004a30d","75001","18-24","""Male""","""Black or African American""","""He/his""",NA,"12usd","""Cybersecurity""","""Referrals to job opportunities, Resume assistance, Practice interviewing""","Yes","Yes",NA,NA
"a12146e771b7721137b1610b79a42f7a","49690","35-44","""Female""","""White / Caucasian""","""She/her""",NA,"2,000","""Data Analytics, Project Management, Cybersecurity, IT Support, UX (User Experience) Design""","""Information about other training programs, No, I don't need additional services""","Yes","Yes",NA,NA
"04daadc0cbf8337431c35ea2410ed58f","49696","25-34","""Male""","""White / Caucasian""","""He/his""",NA,"1000","""Data Analytics""","""Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs""","Yes","Yes",NA,NA
"a04f4aec50af16d9af342861f51683b6","49668","25-34","""Male""","""White / Caucasian""","""He/his""","Full-time","$4,300","""Data Analytics, Project Management, Cybersecurity, IT Support""","""Referrals to job opportunities""","Yes","Yes",NA,NA
"e4cebbc6fd2ad93c6d7fb1e06d3b3f0b","49686","45-54","""Female""","""White / Caucasian""","""She/her""",NA,"0","""Project Management""","""Referrals to job opportunities""","Yes","Yes",NA,NA
"2a260e52c29cd403ed8a3d12ccda0f5c","49690","45-54","""Female""","""White / Caucasian""","""She/her""",NA,"1500","""Project Management, UX (User Experience) Design""","""Referrals to job opportunities""","Yes","Yes",NA,NA
"790e1c6cace9dd14bd379de1a64d8329","49696","35-44","""Female""","""White / Caucasian""","""She/her""",NA,NA,NA,NA,NA,NA,NA,NA
