"rin_community","number_of_eligible_applicants","number_of_enrolled_learners","overall_enrollment_rate","number_of_networking_learners","completed_1st_modules.x","completed_all_modules.x","networking_course_participation_rate","networking_course_completion_rate","number_of_cybersecurity_learners","completed_1st_modules.y","completed_all_modules.y","cybersecurity_course_participation_rate","cybersecurity_course_completion_rate"
"Aberdeen",4,2,0.5,2,2,1,1,0.5,1,1,0,1,0
"Ada",27,16,0.592592592592593,12,4,1,0.333333333333333,0.0833333333333333,10,3,2,0.3,0.2
"Chambers County",9,7,0.777777777777778,3,1,1,0.333333333333333,0.333333333333333,5,0,0,0,0
"Durango",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greenfield",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirksville",2,1,0.5,1,0,0,0,0,1,0,0,0,0
"Manitowoc",2,2,1,2,2,2,1,1,1,1,1,1,1
"Nacogdoches",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portsmouth",9,6,0.666666666666667,5,2,2,0.4,0.4,5,1,0,0.2,0
"Pryor Creek",2,1,0.5,1,1,1,1,1,1,1,1,1,1
"Randolph",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rutland",3,2,0.666666666666667,1,0,0,0,0,1,0,0,0,0
"Springfield",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taos",8,4,0.5,1,0,0,0,0,3,0,0,0,0
"The Berkshires",5,3,0.6,2,1,0,0.5,0,3,0,0,0,0
"The Dalles",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Traverse City",45,30,0.666666666666667,17,3,1,0.176470588235294,0.0588235294117647,22,2,0,0.0909090909090909,0
"Wilkes County",1,1,1,1,1,0,1,0,0,0,0,NA,NA
"Wilson",42,27,0.642857142857143,18,4,2,0.222222222222222,0.111111111111111,16,0,0,0,0
"Total",166,102,0.614457831325301,66,21,11,0.318181818181818,0.166666666666667,69,9,4,0.130434782608696,0.0579710144927536
